Name of the college,Stream,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
WAGHIRE MAHAVIDY SASWAD,HSC.VOC,56,54,12,18,20,2,52,96.29,2023
PURANDAR H SCH AND JR.COL,HSC.VOC,57,55,1,28,22,1,52,94.54,2023
PANCHKROSHI SHETKARI TECHNICAL VIDY AND VYAVS,HSC.VOC,45,45,0,3,36,5,44,97.77,2023
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",SCIENCE,31,31,0,6,23,2,31,100.0,2024
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",ARTS,31,31,1,1,15,9,26,83.87,2024
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",COMMERCE,28,28,1,5,19,3,28,100.0,2024
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",SCIENCE,342,339,6,43,229,60,338,99.7,2024
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",ARTS,137,135,5,12,58,30,105,77.77,2024
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",COMMERCE,192,189,10,64,79,33,186,98.41,2024
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",SCIENCE,115,115,4,25,75,10,114,99.13,2024
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",ARTS,71,69,0,9,42,10,61,88.4,2024
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",SCIENCE,32,32,1,7,23,1,32,100.0,2024
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",ARTS,24,24,0,6,15,1,22,91.66,2024
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",COMMERCE,40,40,3,18,19,0,40,100.0,2024
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",SCIENCE,298,298,10,47,202,33,292,97.98,2024
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",ARTS,124,123,3,8,56,20,87,70.73,2024
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",COMMERCE,150,149,11,35,71,25,142,95.3,2024
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",SCIENCE,56,56,0,14,41,1,56,100.0,2024
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",ARTS,22,22,1,3,8,8,20,90.9,2024
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",COMMERCE,36,36,2,6,21,6,35,97.22,2024
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",SCIENCE,42,42,1,11,26,2,40,95.23,2024
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",ARTS,10,9,0,1,5,1,7,77.77,2024
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",SCIENCE,47,47,0,9,32,6,47,100.0,2024
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",ARTS,32,32,1,4,11,8,24,75.0,2024
"SHRI.KEDARESHWAR VIDHYALAYA & JR.COLLEGE, KALDAREE",ARTS,18,18,1,5,6,5,17,94.44,2024
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",SCIENCE,126,126,2,56,68,0,126,100.0,2024
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",ARTS,57,57,6,12,37,2,57,100.0,2024
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",COMMERCE,77,77,1,24,50,2,77,100.0,2024
"RISE-PISE SEC.& HIGHER SEC. SCHOOL, RISE, PURANDAR",ARTS,19,19,1,8,9,0,18,94.73,2024
"SHREE SHIVAJI ENG.MEDIUM.SCHL.& JR COL.SASWAD,PUNE",SCIENCE,81,81,8,26,47,0,81,100.0,2024
MJPV AND SMK JR COL A/P SHIVARI TAL PURANDHAR,SCIENCE,40,40,0,17,23,0,40,100.0,2024
L R SHAHKANYA VIDYA MANDIR NIRA,SCIENCE,24,24,0,0,17,6,23,95.83,2024
GOVT I T I SASWAD,TECH.SCI,3,3,0,0,2,1,3,100.0,2024
WAGHIRE MAHAVIDY SASWAD,HSC.VOC,35,32,3,12,12,1,28,87.5,2024
PURANDAR H SCH AND JR.COL,HSC.VOC,66,63,0,10,43,1,54,85.71,2024
PANCHKROSHI SHETKARI TECHNICAL VIDY AND VYAVS,HSC.VOC,26,25,0,9,15,1,25,100.0,2024
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",SCIENCE,16,16,0,0,13,3,16,100.0,2025
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",ARTS,21,20,0,0,9,4,13,65.0,2025
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",COMMERCE,20,20,0,2,13,4,19,95.0,2025
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",SCIENCE,315,314,4,33,211,63,311,99.04,2025
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",ARTS,129,123,1,20,59,17,97,78.86,2025
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",COMMERCE,175,175,8,35,74,41,158,90.28,2025
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",SCIENCE,106,104,0,6,55,33,94,90.38,2025
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",ARTS,56,56,0,3,18,17,38,67.85,2025
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",SCIENCE,25,25,0,0,18,4,22,88.0,2025
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",ARTS,19,19,0,1,4,5,10,52.63,2025
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",COMMERCE,42,42,0,6,35,1,42,100.0,2025
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",SCIENCE,317,316,5,45,232,29,311,98.41,2025
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",ARTS,159,156,2,25,67,22,116,74.35,2025
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",COMMERCE,131,131,12,31,60,20,123,93.89,2025
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",SCIENCE,61,61,0,2,33,25,60,98.36,2025
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",ARTS,22,21,0,0,5,1,6,28.57,2025
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",COMMERCE,34,34,1,5,14,5,25,73.52,2025
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",SCIENCE,45,45,1,22,21,1,45,100.0,2025
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",ARTS,9,9,0,1,6,1,8,88.88,2025
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",SCIENCE,51,51,1,1,41,8,51,100.0,2025
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",ARTS,22,22,3,3,8,1,15,68.18,2025
"SHRI.KEDARESHWAR VIDHYALAYA & JR.COLLEGE, KALDAREE",ARTS,25,25,1,9,13,1,24,96.0,2025
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",SCIENCE,126,126,0,3,89,34,126,100.0,2025
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",ARTS,61,61,0,6,28,10,44,72.13,2025
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",COMMERCE,70,70,1,6,37,19,63,90.0,2025
"RISE-PISE SEC.& HIGHER SEC. SCHOOL, RISE, PURANDAR",ARTS,18,18,1,5,9,0,15,83.33,2025
"SHREE SHIVAJI ENG.MEDIUM.SCHL.& JR COL.SASWAD,PUNE",SCIENCE,112,112,4,34,71,3,112,100.0,2025
MJPV AND SMK JR COL A/P SHIVARI TAL PURANDHAR,SCIENCE,54,54,0,1,32,16,49,90.74,2025
L R SHAHKANYA VIDYA MANDIR NIRA,SCIENCE,18,18,0,0,6,12,18,100.0,2025
WAGHIRE MAHAVIDY SASWAD,HSC.VOC,34,34,9,11,11,0,31,91.17,2025
PURANDAR H SCH AND JR.COL,HSC.VOC,66,64,1,12,27,1,41,64.06,2025
PANCHKROSHI SHETKARI TECHNICAL VIDY AND VYAVS,HSC.VOC,35,34,0,2,21,0,23,67.64,2025
